
time,bias,peak
16747,0.25,0.6689453
16818,0.25,0.6660156
16889,0.28125,0.6611328
16960,0.25,0.6621094
17031,0.28125,0.6689453
17102,0.28125,0.6669922
17172,0.28125,0.6640625
17243,0.3125,0.6699219
17313,0.3125,0.6640625
17384,0.3125,0.6660156
17455,0.3125,0.66503906
17526,0.3125,0.6669922
17597,0.3125,0.6699219
17668,0.3125,0.6640625
17739,0.3125,0.6748047
17810,0.3125,0.68652344
17881,0.3125,0.6826172
17952,0.3125,0.67285156
18023,0.34375,0.65722656
18094,0.375,0.64160156
18164,0.34375,0.6582031
18235,0.40625,0.6484375
18306,0.34375,0.66308594
18377,0.34375,0.65722656
18448,0.34375,0.6484375
18519,0.3125,0.6582031
18589,0.34375,0.6582031
18661,0.34375,0.6503906
18731,0.34375,0.6435547
18803,0.34375,0.6357422
18874,0.40625,0.64746094
18944,0.40625,0.6455078
19015,0.40625,0.63964844
19086,0.40625,0.6484375
19156,0.40625,0.64160156
19228,0.46875,0.6308594
19299,0.46875,0.6386719
19370,0.46875,0.60839844
19440,0.46875,0.6328125
19511,0.46875,0.6386719
19582,0.53125,0.61035156
19653,0.53125,0.61621094
19724,0.53125,0.6123047
19795,0.53125,0.6171875
19867,0.46875,0.63183594
19937,0.46875,0.62890625
20008,0.40625,0.62890625
20079,0.40625,0.65234375
20150,0.40625,0.65527344
20221,0.40625,0.6484375
20292,0.40625,0.64453125
20363,0.34375,0.65234375
20433,0.34375,0.66503906
20504,0.3125,0.66015625
20575,0.3125,0.6875
20646,0.3125,0.6894531
20717,0.3125,0.69140625
20788,0.3125,0.6826172
20859,0.3125,0.69140625
20930,0.3125,0.67871094
21000,0.3125,0.68847656
21072,0.3125,0.6826172
21142,0.34375,0.64941406
21212,0.34375,0.68359375
21283,0.3125,0.67578125
21353,0.3125,0.6767578
21424,0.3125,0.66796875
21496,0.34375,0.64941406
21566,0.34375,0.6591797
21637,0.34375,0.65625
21708,0.34375,0.6425781
21778,0.34375,0.6591797
21849,0.34375,0.6484375
21921,0.34375,0.6533203
21992,0.34375,0.64941406
22062,0.34375,0.6464844
22133,0.34375,0.6376953
22204,0.34375,0.6455078
22275,0.34375,0.64746094
22346,0.34375,0.6542969
22417,0.34375,0.65234375
22488,0.34375,0.64746094
22560,0.34375,0.64746094
22630,0.34375,0.6484375
22701,0.40625,0.63964844
22772,0.40625,0.6484375
22843,0.40625,0.6533203
22914,0.40625,0.64746094
22985,0.40625,0.64453125
23056,0.40625,0.6464844
23127,0.46875,0.63378906
23198,0.46875,0.6435547
23268,0.40625,0.65722656
23339,0.40625,0.6542969
23410,0.375,0.6542969
23480,0.34375,0.65527344
23551,0.40625,0.65625
23622,0.40625,0.66015625
23693,0.46875,0.6308594
23764,0.46875,0.6513672
23834,0.46875,0.6513672
23905,0.46875,0.64941406
23976,0.53125,0.64453125
24047,0.53125,0.59765625
24118,0.53125,0.5986328
24189,0.53125,0.5996094
24260,0.5625,0.5859375
24331,0.53125,0.58691406
24402,0.5625,0.57421875
24473,0.5625,0.5703125
24544,0.5625,0.5703125
24615,0.59375,0.57128906
24685,0.53125,0.5957031
24756,0.46875,0.63183594
24827,0.40625,0.65234375
24897,0.40625,0.66308594
24968,0.375,0.6611328
25038,0.34375,0.64453125
25109,0.34375,0.64453125
25180,0.34375,0.6376953
25251,0.40625,0.64453125
25322,0.40625,0.6464844
25393,0.40625,0.65234375
25464,0.40625,0.64453125
25535,0.40625,0.65234375
25606,0.40625,0.6533203
25676,0.40625,0.6611328
25747,0.40625,0.6533203
25817,0.40625,0.6591797
25888,0.40625,0.65625
25959,0.4375,0.6542969
26030,0.53125,0.6152344
26100,0.53125,0.5957031
26171,0.53125,0.59277344
26242,0.5625,0.56640625
26314,0.59375,0.5654297
26384,0.59375,0.5576172
26454,0.53125,0.6201172
26525,0.40625,0.66308594
26596,0.40625,0.65234375
26667,0.40625,0.6640625
26738,0.40625,0.66015625
26808,0.40625,0.65722656
26879,0.40625,0.65527344
26950,0.40625,0.6582031
27021,0.40625,0.64941406
27092,0.40625,0.6582031
27163,0.40625,0.6533203
27233,0.40625,0.62109375
27305,0.40625,0.65527344
27375,0.40625,0.6357422
27446,0.46875,0.625
27517,0.53125,0.61621094
27589,0.53125,0.6015625
27659,0.5625,0.578125
27730,0.59375,0.5703125
27801,0.59375,0.5566406
27872,0.5625,0.5576172
27943,0.65625,0.53515625
28014,0.5625,0.5449219
28084,0.625,0.5390625
28155,0.65625,0.5488281
28226,0.5625,0.5644531
28296,0.53125,0.6142578
28367,0.46875,0.6425781
28438,0.40625,0.6328125
28510,0.46875,0.6376953
28580,0.46875,0.625
28651,0.53125,0.6113281
28722,0.53125,0.61328125
28793,0.53125,0.5957031
28864,0.59375,0.5722656
28934,0.59375,0.55566406
29005,0.65625,0.5439453
29076,0.625,0.5361328
29148,0.625,0.5439453
29218,0.65625,0.5361328
29289,0.5625,0.55078125
